Jour;Date;Heure;Humidite;Temperature;Target_temp;Target_hum
Tuesday ;16/07/2024;10:16:30;31.8;33.0;haute;sec
Tuesday ;16/07/2024;10:16:31;31.8;33.0;haute;sec
Tuesday ;16/07/2024;10:16:32;31.8;33.0;haute;sec
Tuesday ;16/07/2024;10:16:33;31.4;33.1;haute;sec
Tuesday ;16/07/2024;10:16:34;31.4;33.1;haute;sec
Tuesday ;16/07/2024;10:16:35;31.4;33.1;haute;sec
Tuesday ;16/07/2024;10:16:36;30.8;33.2;haute;sec
Tuesday ;16/07/2024;10:16:37;30.8;33.2;haute;sec
Tuesday ;16/07/2024;10:16:38;30.8;33.2;haute;sec
Tuesday ;16/07/2024;10:16:39;30.4;33.3;haute;sec
Tuesday ;16/07/2024;10:16:40;30.4;33.3;haute;sec
Tuesday ;16/07/2024;10:16:41;30.4;33.3;haute;sec
Tuesday ;16/07/2024;10:16:42;30.2;33.5;haute;sec
Tuesday ;16/07/2024;10:16:43;30.2;33.5;haute;sec
Tuesday ;16/07/2024;10:16:44;30.2;33.5;haute;sec
Tuesday ;16/07/2024;10:16:45;29.8;33.6;haute;sec
Tuesday ;16/07/2024;10:16:46;29.8;33.6;haute;sec
Tuesday ;16/07/2024;10:16:47;29.8;33.6;haute;sec
Tuesday ;16/07/2024;10:16:48;29.7;33.7;haute;sec
Tuesday ;16/07/2024;10:16:49;29.7;33.7;haute;sec
Tuesday ;16/07/2024;10:16:50;29.7;33.7;haute;sec
Tuesday ;16/07/2024;10:16:51;29.5;33.8;haute;sec
Tuesday ;16/07/2024;10:16:52;29.5;33.8;haute;sec
Tuesday ;16/07/2024;10:16:53;29.5;33.8;haute;sec
Tuesday ;16/07/2024;10:16:54;29.2;33.9;haute;sec
Tuesday ;16/07/2024;10:16:55;29.2;33.9;haute;sec
Tuesday ;16/07/2024;10:16:56;29.2;33.9;haute;sec
Tuesday ;16/07/2024;10:16:57;29.3;34.0;haute;sec
Tuesday ;16/07/2024;10:16:58;29.3;34.0;haute;sec
Tuesday ;16/07/2024;10:16:59;29.3;34.0;haute;sec
Tuesday ;16/07/2024;10:17:00;29.5;34.1;haute;sec
Tuesday ;16/07/2024;10:17:01;29.5;34.1;haute;sec
Tuesday ;16/07/2024;10:17:02;29.5;34.1;haute;sec
Tuesday ;16/07/2024;10:17:03;29.6;34.2;haute;sec
Tuesday ;16/07/2024;10:17:04;29.6;34.2;haute;sec
Tuesday ;16/07/2024;10:17:05;29.6;34.2;haute;sec
Tuesday ;16/07/2024;10:17:06;29.5;34.3;haute;sec
Tuesday ;16/07/2024;10:17:07;29.5;34.3;haute;sec
Tuesday ;16/07/2024;10:17:08;29.5;34.3;haute;sec
Tuesday ;16/07/2024;10:17:09;29.1;34.3;haute;sec
Tuesday ;16/07/2024;10:17:10;29.1;34.3;haute;sec
Tuesday ;16/07/2024;10:17:11;29.1;34.3;haute;sec
Tuesday ;16/07/2024;10:17:12;28.8;34.5;haute;sec
Tuesday ;16/07/2024;10:17:13;28.8;34.5;haute;sec
Tuesday ;16/07/2024;10:17:14;28.8;34.5;haute;sec
Tuesday ;16/07/2024;10:17:15;29.5;34.6;haute;sec
Tuesday ;16/07/2024;10:17:16;29.5;34.6;haute;sec
Tuesday ;16/07/2024;10:17:17;29.5;34.6;haute;sec
Tuesday ;16/07/2024;10:17:18;29.7;34.6;haute;sec
Tuesday ;16/07/2024;10:17:19;29.7;34.6;haute;sec
Tuesday ;16/07/2024;10:17:20;29.7;34.6;haute;sec
Tuesday ;16/07/2024;10:17:21;29.2;34.6;haute;sec
Tuesday ;16/07/2024;10:17:22;29.2;34.6;haute;sec
Tuesday ;16/07/2024;10:17:23;29.2;34.6;haute;sec
Tuesday ;16/07/2024;10:17:24;28.9;35.0;haute;sec
Tuesday ;16/07/2024;10:17:25;28.9;35.0;haute;sec
Tuesday ;16/07/2024;10:17:26;28.9;35.0;haute;sec
Tuesday ;16/07/2024;10:17:27;28.5;35.1;haute;sec
Tuesday ;16/07/2024;10:17:28;28.5;35.1;haute;sec
Tuesday ;16/07/2024;10:17:29;28.5;35.1;haute;sec
Tuesday ;16/07/2024;10:17:30;28.1;35.3;haute;sec
Tuesday ;16/07/2024;10:17:31;28.1;35.3;haute;sec
Tuesday ;16/07/2024;10:17:32;28.1;35.3;haute;sec
Tuesday ;16/07/2024;10:17:33;27.9;35.4;haute;sec
Tuesday ;16/07/2024;10:17:34;27.9;35.4;haute;sec
Tuesday ;16/07/2024;10:17:35;27.9;35.4;haute;sec
Tuesday ;16/07/2024;10:17:36;27.9;35.6;haute;sec
Tuesday ;16/07/2024;10:17:37;27.9;35.6;haute;sec
Tuesday ;16/07/2024;10:17:38;27.9;35.6;haute;sec
Tuesday ;16/07/2024;10:17:39;28.1;35.6;haute;sec
Tuesday ;16/07/2024;10:17:40;28.1;35.6;haute;sec
Tuesday ;16/07/2024;10:17:41;28.1;35.6;haute;sec
Tuesday ;16/07/2024;10:17:42;27.7;35.8;haute;sec
Tuesday ;16/07/2024;10:17:43;27.7;35.8;haute;sec
Tuesday ;16/07/2024;10:17:44;27.7;35.8;haute;sec
Tuesday ;16/07/2024;10:17:45;27.3;35.9;haute;sec
Tuesday ;16/07/2024;10:17:46;27.3;35.9;haute;sec
Tuesday ;16/07/2024;10:17:47;27.3;35.9;haute;sec
Tuesday ;16/07/2024;10:17:48;27.3;36.0;haute;sec
Tuesday ;16/07/2024;10:17:49;27.3;36.0;haute;sec
Tuesday ;16/07/2024;10:17:50;27.3;36.0;haute;sec
Tuesday ;16/07/2024;10:17:51;27.4;36.0;haute;sec
Tuesday ;16/07/2024;10:17:52;27.4;36.0;haute;sec
Tuesday ;16/07/2024;10:17:53;27.4;36.0;haute;sec
Tuesday ;16/07/2024;10:17:54;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:17:55;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:17:56;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:17:57;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:17:58;27.6;36.2;haute;sec
Tuesday ;16/07/2024;10:17:59;27.6;36.2;haute;sec
